"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.524689787E0,3.351882473E-2,-1.723825186E-1,-9.576806799E-3,1.758719977E-1
1.534705777E0,4.788403213E-2,-1.771709323E-1,0.000000000E0,1.835277085E-1
1.544531143E0,4.788403213E-2,-1.532289088E-1,8.140286058E-2,1.799955686E-1
1.554391665E0,3.830722719E-2,-2.106897533E-1,-1.436521020E-2,2.146251967E-1
1.564265624E0,2.873042040E-2,-1.867477298E-1,2.394201607E-2,1.904556950E-1
1.574096406E0,6.224924326E-2,-1.675941199E-1,4.788403213E-2,1.850827865E-1
1.584021720E0,2.873042040E-2,-1.436520964E-1,4.788403213E-2,1.541241136E-1
1.593878440E0,2.394201607E-2,-1.340752989E-1,1.436521020E-2,1.369516892E-1
1.603807347E0,1.436521020E-2,-1.723825186E-1,9.097966552E-2,1.954466463E-1
1.613620942E0,-1.436521020E-2,-1.771709323E-1,3.351882473E-2,1.808850744E-1
1.623476568E0,6.703764945E-2,-1.723825186E-1,1.149216816E-1,2.177539255E-1
1.633363027E0,2.873042040E-2,-1.244984865E-1,1.580173075E-1,2.032111702E-1
1.643225424E0,4.788403213E-2,-1.388636976E-1,2.106897533E-1,2.568388195E-1
1.653126571E0,9.097966552E-2,-1.484405100E-1,1.484405100E-1,2.287935086E-1
1.663022874E0,3.351882473E-2,-1.484405100E-1,1.963245422E-1,2.483977103E-1
1.672726052E0,3.351882473E-2,-1.197100878E-1,1.484405100E-1,1.936197349E-1
1.682740740E0,2.394201607E-2,-1.244984865E-1,2.106897533E-1,2.458927925E-1
1.692483606E0,3.830722719E-2,-1.149216816E-1,2.394201756E-1,2.683215553E-1
1.702331680E0,1.005564705E-1,-1.292868853E-1,1.819593310E-1,2.448180970E-1
1.712293816E0,5.267243832E-2,-9.576806426E-2,2.633621991E-1,2.851412909E-1
1.722087515E0,3.830722719E-2,-1.580173075E-1,2.681505978E-1,3.135947325E-1
